"Name","Num","Mmb","Hv","<Hv>","h:m:s","d:m:s","radD","radR"
"52","Scl","0052",1,109,0,"01 : 01 : 15.18","-33 : 39 : 35.9",-0.748738976900351,0.267266631681022
"53","Scl","0053",0.998,136,0,"01 : 01 : 16.50","-33 : 41 : 09.6",-0.755553033188345,0.267362624789881
"54","Scl","0054",1,109,0,"01 : 01 : 20.09","-33 : 41 : 45.4",-0.758156482655904,0.267623696957159
"55","Scl","0055",1,110,0,"01 : 01 : 17.00","-33 : 41 : 57.8",-0.759058236102767,0.267398985815965
"56","Scl","0056",1,111,0,"01 : 01 : 15.85","-33 : 37 : 07.9",-0.737976113179719,0.267315355455973
"57","Scl","0057",1,107,0,"01 : 01 : 17.52","-33 : 37 : 41.6",-0.740426846337728,0.267436801283091
"58","Scl","0058",1,115,0,"01 : 01 : 17.26","-33 : 39 : 16.5",-0.747328169088322,0.267417893549528
"59","Scl","0059",1,107,0,"01 : 01 : 21.56","-33 : 40 : 17.9",-0.751793303091341,0.267730598373843
"60","Scl","0060",1,120,0,"01 : 01 : 23.15","-33 : 41 : 04.8",-0.755203967337946,0.267846226436788
"61","Scl","0061",0.98,84,0,"01 : 01 : 26.20","-33 : 41 : 20.2",-0.756323886941309,0.268068028695896
"62","Scl","0062",0,-11,0,"01 : 01 : 26.94","-33 : 41 : 44.3",-0.75807648839852,0.268121843014499
"63","Scl","0063",1,101,0,"01 : 01 : 19.64","-33 : 49 : 27.1",-0.791732254141144,0.267590972033684
"64","Scl","0064",1,114,0,"01 : 01 : 27.89","-33 : 47 : 30.9",-0.783281951679405,0.268190928964057
"65","Scl","0065",1,108,0,"01 : 01 : 23.83","-33 : 46 : 50.1",-0.780314891951015,0.267895677432261
"66","Scl","0066",1,104,0,"01 : 01 : 23.34","-33 : 46 : 02.3",-0.776838777857459,0.2678600436267
"67","Scl","0067",0.998,107,0,"01 : 01 : 19.41","-33 : 45 : 23.4",-0.774009890028185,0.267574245961686
"68","Scl","0068",1,109,0,"01 : 01 : 23.60","-33 : 44 : 58.0",-0.772162749903158,0.267878951360263
"69","Scl","0069",1,111,0,"01 : 01 : 22.56","-33 : 44 : 26.1",-0.769842916439049,0.26780332042601
"70","Scl","0070",1,120,0,"01 : 01 : 15.05","-33 : 50 : 02.6",-0.794313886993053,0.26725717781424
"71","Scl","0071",1,111,0,"01 : 01 : 16.04","-33 : 49 : 48.6",-0.793295778262723,0.267329172645885
"72","Scl","0072",1,105.4,1.5,"01 : 01 : 12.90","-33 : 46 : 42.7",-0.779776748764983,0.267100825402082
"73","Scl","0073",1,121.2,1.2,"01 : 01 : 17.76","-33 : 46 : 24.9",-0.778482296236421,0.267454254575611
"74","Scl","0074",1,109,0,"01 : 01 : 16.81","-33 : 44 : 35.2",-0.770504687113763,0.267385168626053
"75","Scl","0075",0.999,98,0,"01 : 01 : 22.76","-33 : 35 : 36.9",-0.731358406432574,0.267817864836443
"76","Scl","0076",0.999,96.4,3,"01 : 01 : 31.61","-33 : 36 : 04.6",-0.733372807277584,0.268461454998116
"77","Scl","0077",1,108,0,"01 : 01 : 31.79","-33 : 42 : 07.0",-0.759727278982698,0.268474544967506
"78","Scl","0078",1,116,0,"01 : 01 : 37.80","-33 : 37 : 03.2",-0.737634319534537,0.268911604501026
"79","Scl","0079",1,112,0,"01 : 01 : 36.81","-33 : 37 : 46.2",-0.740761367777693,0.268839609669382
"80","Scl","0080",1,101,0,"01 : 01 : 41.06","-33 : 38 : 43.7",-0.744942885777263,0.269148678391089
"81","Scl","0081",0.997,134,0,"01 : 01 : 44.26","-33 : 42 : 12.1",-0.760098161448747,0.269381388958021
"82","Scl","0082",1,123,0,"01 : 01 : 48.14","-33 : 42 : 30.4",-0.761428975003393,0.269663550520427
"83","Scl","0083",1,113,0,"01 : 01 : 49.38","-33 : 43 : 02.8",-0.763785169493585,0.269753725865114
"84","Scl","0084",0.998,117,0,"01 : 01 : 38.35","-33 : 47 : 32.6",-0.783405579168088,0.268951601629718
"85","Scl","0085",0.997,106,0,"01 : 01 : 51.06","-33 : 45 : 30.8",-0.774548033214217,0.269875898912753
